sender_id,receiver_id,interact_type,time,weight
人021,人054,文件分享,2025-10-21 18:21:29.902093,5
文048,文097,私聊,2025-10-25 04:33:29.902093,3
文048,文097,私聊,2025-10-25 04:33:29.902093,3
人093,环015,@提及,2025-11-16 07:21:29.902093,4
文062,文092,群聊发言,2025-10-24 03:13:29.902093,3
文062,文092,群聊发言,2025-10-24 03:13:29.902093,3
环069,人075,私聊,2025-11-02 10:02:29.902093,4
环069,人075,私聊,2025-11-02 10:02:29.902093,4
文090,环095,群聊发言,2025-11-12 22:15:29.902093,3
文056,文091,群聊发言,2025-11-08 01:45:29.902093,5
人093,环007,@提及,2025-10-23 03:34:29.902093,3
文057,文048,@提及,2025-11-16 06:22:29.902093,2
环061,环074,私聊,2025-10-29 12:41:29.902093,5
环011,,私聊,2025-11-07 08:41:29.902093,2
人009,人040,私聊,2025-11-06 05:13:29.902093,2
人009,人040,私聊,2025-11-06 05:13:29.902093,2
文054,文100,@提及,2025-11-08 10:20:29.902093,4
文054,文100,@提及,2025-11-08 10:20:29.902093,4
人088,环046,私聊,2025-11-13 21:13:29.902093,1
文062,文081,@提及,2025-10-29 09:14:29.902093,1
文075,文076,群聊发言,2025-11-07 06:57:29.902093,5
环004,人088,群聊发言,2025-11-02 13:20:29.902093,4
人050,环029,群聊发言,2025-11-06 04:39:29.902093,1
环010,文091,群聊发言,2025-11-04 00:31:29.902093,5
环016,,文件分享,2025-11-16 16:20:29.902093,3
环039,环084,私聊,2025-10-21 02:30:29.902093,1
环060,环057,群聊发言,2025-10-23 13:53:29.902093,1
环060,环057,群聊发言,2025-10-23 13:53:29.902093,1
人018,人075,群聊发言,2025-10-21 06:15:29.902093,2
人065,人054,私聊,2025-11-11 04:03:29.902093,4
环031,文068,群聊发言,2025-11-06 04:25:29.902093,4
人074,人048,@提及,2025-11-12 11:44:29.902093,1
人066,环019,群聊发言,2025-10-27 23:24:29.902093,4
文093,文045,@提及,2025-11-06 10:41:29.902093,2
环019,文023,群聊发言,2025-10-22 10:30:29.902093,5
文013,文087,文件分享,2025-10-25 12:34:29.902093,3
人094,人098,群聊发言,2025-11-02 12:23:29.902093,5
环020,人053,@提及,2025-10-28 23:26:29.902093,1
文070,文093,群聊发言,2025-11-08 08:32:29.902093,5
人051,人060,文件分享,2025-11-12 13:50:29.902093,5
人079,环036,@提及,2025-11-12 15:07:29.902093,4
文062,环088,群聊发言,2025-11-03 12:49:29.902093,1
环024,环030,@提及,2025-11-08 08:18:29.902093,4
环024,环030,@提及,2025-11-08 08:18:29.902093,4
文072,文076,@提及,2025-10-31 21:00:29.902093,4
文072,文076,@提及,2025-10-31 21:00:29.902093,4
人003,人090,文件分享,2025-11-04 11:57:29.902093,2
环081,人091,私聊,2025-11-06 08:43:29.902093,3
环020,文098,群聊发言,2025-10-22 04:57:29.902093,4
人018,环001,群聊发言,2025-11-11 00:55:29.902093,5
环018,环047,私聊,2025-11-06 22:57:29.902093,5
人060,人066,@提及,2025-11-16 06:28:29.902093,5
环006,文058,群聊发言,2025-10-27 11:17:29.902093,5
环004,文049,私聊,2025-11-04 12:56:29.902093,4
文086,文017,群聊发言,2025-11-07 16:15:29.902093,2
文078,文081,@提及,2025-11-02 15:18:29.902093,5
人098,人029,群聊发言,2025-11-10 07:20:29.902093,4
人031,环018,私聊,2025-10-20 00:32:29.902093,2
人038,环017,@提及,2025-11-09 15:58:29.902093,3
人038,环017,@提及,2025-11-09 15:58:29.902093,3
文024,文070,@提及,2025-11-13 08:23:29.902093,2
环030,,群聊发言,2025-11-06 21:11:29.902093,4
环008,环086,@提及,2025-10-19 09:36:29.902093,1
人010,人025,群聊发言,2025-10-23 19:21:29.902093,3
环061,文067,@提及,2025-10-29 10:47:29.902093,4
环075,环083,私聊,2025-11-16 11:54:29.902093,1
人088,文086,群聊发言,2025-11-02 02:34:29.902093,3
人073,文097,@提及,2025-11-09 13:18:29.902093,3
环066,人027,私聊,2025-10-26 07:07:29.902093,2
人064,环025,私聊,2025-11-07 10:13:29.902093,4
人076,人036,@提及,2025-11-05 17:28:29.902093,1
环080,文027,@提及,2025-11-16 15:43:29.902093,5
文045,,@提及,2025-11-10 23:51:29.902093,5
文029,环049,私聊,2025-11-17 08:27:29.902093,2
环096,文090,私聊,2025-11-13 07:03:29.902093,3
文065,环090,群聊发言,2025-10-25 01:59:29.902093,1
环070,人039,群聊发言,2025-11-04 13:57:29.902093,1
文040,环025,群聊发言,2025-10-31 05:41:29.902093,2
文070,人009,@提及,2025-10-30 04:41:29.902093,3
人092,文004,群聊发言,2025-10-28 13:48:29.902093,2
文059,文063,私聊,2025-10-29 05:24:29.902093,3
文028,环055,群聊发言,2025-10-23 10:26:29.902093,5
环011,环044,@提及,2025-10-22 16:32:29.902093,5
人016,文011,群聊发言,2025-10-23 23:04:29.902093,3
环098,环076,群聊发言,2025-10-21 22:25:29.902093,2
环098,环076,群聊发言,2025-10-21 22:25:29.902093,2
文051,人068,群聊发言,2025-10-25 04:29:29.902093,3
环070,人069,私聊,2025-10-25 13:58:29.902093,2
环070,人069,私聊,2025-10-25 13:58:29.902093,2
人056,,文件分享,2025-10-28 11:17:29.902093,1
文047,环042,群聊发言,2025-10-23 07:46:29.902093,2
人007,环068,群聊发言,2025-10-31 10:43:29.902093,5
文063,人002,群聊发言,2025-10-23 21:26:29.902093,5
文039,人020,私聊,2025-11-02 08:53:29.902093,5
文055,人064,群聊发言,2025-11-16 03:36:29.902093,2
环088,人078,文件分享,2025-10-27 19:04:29.902093,1
人042,文083,群聊发言,2025-10-20 15:11:29.902093,5
文021,文009,@提及,2025-10-22 23:47:29.902093,1
文021,文009,@提及,2025-10-22 23:47:29.902093,1
环007,文082,私聊,2025-10-28 03:39:29.902093,1
环055,人063,群聊发言,2025-11-01 01:23:29.902093,4
环030,文017,@提及,2025-11-10 03:22:29.902093,4
文079,文017,群聊发言,2025-11-05 20:22:29.902093,3
文067,,文件分享,2025-11-01 08:49:29.902093,1
文065,环004,文件分享,2025-10-30 02:36:29.902093,4
文057,环083,群聊发言,2025-10-23 08:31:29.902093,5
文014,文061,群聊发言,2025-10-22 03:32:29.902093,3
人097,人006,@提及,2025-11-12 03:58:29.902093,5
环024,环003,私聊,2025-10-23 13:17:29.902093,5
人081,环063,私聊,2025-11-14 21:52:29.902093,5
文014,人085,@提及,2025-11-08 20:01:29.902093,2
人002,环008,群聊发言,2025-11-03 15:43:29.902093,3
文083,,群聊发言,2025-10-20 16:15:29.902093,1
文073,文084,@提及,2025-10-27 18:34:29.902093,2
文053,人082,群聊发言,2025-10-31 22:52:29.902093,2
文009,人033,群聊发言,2025-10-23 22:37:29.902093,3
文036,环023,文件分享,2025-10-19 09:07:29.902093,4
环009,文090,私聊,2025-10-21 13:19:29.902093,5
环010,人068,私聊,2025-10-24 12:06:29.902093,4
人074,环009,@提及,2025-11-03 00:15:29.902093,1
人016,环022,@提及,2025-11-03 16:57:29.902093,5
人087,环019,@提及,2025-11-16 14:26:29.902093,5
环074,文019,私聊,2025-11-08 19:48:29.902093,1
人090,人048,群聊发言,2025-11-06 05:10:29.902093,5
人058,环066,@提及,2025-10-29 15:22:29.902093,5
人078,人027,群聊发言,2025-11-04 11:08:29.902093,4
文013,人074,@提及,2025-11-06 05:48:29.902093,4
人047,人059,私聊,2025-11-17 11:11:29.902093,1
文072,文021,文件分享,2025-11-17 17:47:29.902093,3
人073,人100,群聊发言,2025-11-16 17:46:29.902093,4
环035,人033,群聊发言,2025-11-06 23:33:29.902093,1
环012,人044,@提及,2025-11-09 20:43:29.902093,4
环012,人044,@提及,2025-11-09 20:43:29.902093,4
环007,人065,私聊,2025-11-08 19:41:29.902093,1
环007,人065,私聊,2025-11-08 19:41:29.902093,1
环072,文065,群聊发言,2025-10-23 04:53:29.902093,4
人035,人055,@提及,2025-10-29 19:03:29.902093,1
文048,人022,文件分享,2025-10-26 23:19:29.902093,5
文037,环011,群聊发言,2025-10-27 11:33:29.902093,3
文031,文069,@提及,2025-11-12 15:48:29.902093,2
文031,,@提及,2025-11-12 15:48:29.902093,2
环069,文056,群聊发言,2025-10-29 23:58:29.902093,3
人026,人085,群聊发言,2025-10-27 09:18:29.902093,5
人074,环030,私聊,2025-11-12 05:04:29.902093,2
文014,文009,私聊,2025-11-01 20:58:29.902093,3
文037,环018,文件分享,2025-11-02 10:28:29.902093,2
环042,人091,群聊发言,2025-10-24 01:23:29.902093,1
人067,人095,群聊发言,2025-10-29 02:08:29.902093,2
人017,环061,群聊发言,2025-11-11 16:38:29.902093,2
环048,文078,群聊发言,2025-11-13 01:04:29.902093,1
环016,文024,私聊,2025-10-25 19:24:29.902093,3
环036,环002,群聊发言,2025-11-16 20:09:29.902093,2
环004,,私聊,2025-10-25 05:29:29.902093,1
文042,文090,@提及,2025-10-18 22:43:29.902093,4
文013,环053,群聊发言,2025-11-12 08:50:29.902093,3
环058,环047,@提及,2025-11-03 03:16:29.902093,2
文034,文080,群聊发言,2025-11-01 00:44:29.902093,3
人025,人037,群聊发言,2025-10-28 16:17:29.902093,1
环027,人060,@提及,2025-11-09 02:12:29.902093,2
环093,环097,群聊发言,2025-10-27 04:37:29.902093,2
人099,人025,群聊发言,2025-10-25 16:56:29.902093,5
环016,人095,私聊,2025-10-26 12:17:29.902093,2
环016,人095,私聊,2025-10-26 12:17:29.902093,2
文031,文021,@提及,2025-11-04 23:39:29.902093,2
文025,文071,@提及,2025-11-06 23:58:29.902093,1
环017,环058,@提及,2025-11-04 16:07:29.902093,4
人042,文010,私聊,2025-11-09 11:27:29.902093,5
环015,文002,群聊发言,2025-10-30 19:54:29.902093,5
环011,环082,@提及,2025-11-10 20:47:29.902093,2
人061,,群聊发言,2025-11-10 01:45:29.902093,3
人002,人004,群聊发言,2025-11-16 12:34:29.902093,3
环016,人004,@提及,2025-11-17 10:48:29.902093,4
人055,文035,私聊,2025-11-12 02:20:29.902093,4
人066,文040,私聊,2025-11-17 04:51:29.902093,1
人032,环013,私聊,2025-10-28 18:50:29.902093,3
文042,环010,@提及,2025-11-05 13:31:29.902093,4
环005,文047,私聊,2025-11-09 12:15:29.902093,5
人038,环001,@提及,2025-11-07 00:33:29.902093,2
人047,环094,@提及,2025-11-08 07:38:29.902093,3
环059,环090,群聊发言,2025-11-12 21:58:29.902093,3
环006,环055,@提及,2025-10-29 19:58:29.902093,3
人078,环075,群聊发言,2025-11-15 19:11:29.902093,1
人077,文036,文件分享,2025-10-25 06:08:29.902093,3
人090,文085,文件分享,2025-11-14 09:37:29.902093,2
环059,环044,@提及,2025-11-12 17:27:29.902093,4
环040,文030,文件分享,2025-11-04 23:07:29.902093,3
环040,文030,文件分享,2025-11-04 23:07:29.902093,3
环054,人086,群聊发言,2025-11-08 16:36:29.902093,2
人026,环100,群聊发言,2025-11-01 14:07:29.902093,1
人018,人056,文件分享,2025-10-21 11:24:29.902093,2
环018,环023,私聊,2025-10-20 05:15:29.902093,1
文017,文078,群聊发言,2025-11-03 16:53:29.902093,2
环002,文008,私聊,2025-10-25 18:50:29.902093,5
环055,人006,群聊发言,2025-11-15 10:56:29.902093,1
文088,人016,@提及,2025-10-19 04:53:29.902093,3
文049,环015,群聊发言,2025-10-19 14:24:29.902093,1
文063,文099,私聊,2025-11-05 09:45:29.902093,4
文063,文099,私聊,2025-11-05 09:45:29.902093,4
人057,文018,群聊发言,2025-10-22 23:59:29.902093,5
环010,环090,文件分享,2025-10-26 18:54:29.902093,1
环001,人056,群聊发言,2025-11-13 17:48:29.902093,1
文053,文009,@提及,2025-10-29 05:50:29.902093,4
环085,环059,私聊,2025-11-09 14:43:29.902093,1
人035,人068,@提及,2025-10-31 16:17:29.902093,4
文028,环031,@提及,2025-11-11 10:27:29.902093,1
文071,环070,私聊,2025-11-01 13:52:29.902093,3
环045,环046,群聊发言,2025-10-20 10:53:29.902093,5
环045,环046,群聊发言,2025-10-20 10:53:29.902093,5
文066,环045,私聊,2025-11-14 15:37:29.902093,3
人082,人066,群聊发言,2025-10-29 02:34:29.902093,2
环090,人029,群聊发言,2025-10-23 14:31:29.902093,3
环052,人089,群聊发言,2025-11-07 11:54:29.902093,4
人026,环040,私聊,2025-10-20 10:10:29.902093,1
文078,环004,@提及,2025-11-11 11:56:29.902093,4
人030,文056,@提及,2025-11-02 15:36:29.902093,4
环024,环091,群聊发言,2025-11-06 13:56:29.902093,5
人004,文072,群聊发言,2025-11-03 02:22:29.902093,4
人029,文019,群聊发言,2025-11-12 16:03:29.902093,1
环006,人040,文件分享,2025-10-31 15:36:29.902093,1
文094,人023,群聊发言,2025-10-27 08:51:29.902093,3
环093,人053,文件分享,2025-11-06 17:42:29.902093,1
人099,人014,@提及,2025-11-05 04:17:29.902093,3
文025,文060,@提及,2025-10-28 17:32:29.902093,4
文065,文038,群聊发言,2025-10-26 01:50:29.902093,5
文050,环064,群聊发言,2025-10-26 20:22:29.902093,2
环050,人086,文件分享,2025-10-19 05:00:29.902093,1
环020,,群聊发言,2025-11-01 11:02:29.902093,4
文098,人018,@提及,2025-10-23 10:28:29.902093,3
环073,人003,@提及,2025-10-30 17:02:29.902093,4
文057,文083,群聊发言,2025-10-28 23:01:29.902093,5
环079,,@提及,2025-11-11 18:15:29.902093,3
人089,环100,私聊,2025-11-12 22:47:29.902093,4
环009,文046,群聊发言,2025-10-19 01:31:29.902093,1
环009,文046,群聊发言,2025-10-19 01:31:29.902093,1
文029,文062,群聊发言,2025-10-20 04:36:29.902093,4
文019,文024,私聊,2025-10-31 00:35:29.902093,4
人032,文027,群聊发言,2025-10-31 00:49:29.902093,5
文005,人065,群聊发言,2025-10-22 16:08:29.902093,1
文014,文079,群聊发言,2025-10-30 16:28:29.902093,1
人064,文019,@提及,2025-10-18 20:56:29.902093,3
文001,环033,文件分享,2025-11-01 19:20:29.902093,5
环098,人065,@提及,2025-11-08 15:06:29.902093,3
人076,环028,群聊发言,2025-10-28 01:09:29.902093,2
